Type,Quantity,Footprint,Designators
Switch,4,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm,"SW1, SW2, SW3, SW4"
Pinheader 2x13,1,PinHeader_2x13_P2.54mm_Horizontal,J1
Pinsocket 1x 10,1,PinSocket_1x10_P2.54mm_Vertical,A1
Pinsocket 1x8,2,PinSocket_1x8_P2.54mm_Vertical,A1
Pinsocket 1x6,1,PinSocket_1x6_P2.54mm_Vertical,A1
